,Publication Category,Publication Year,PMID,DOI,Authors,Title,Journal,Short Citation
0,Journal Article,2000,10731134,,Rubin GM; Yandell MD; Wortman JR; Gabor Miklos GL; Nelson CR; Hariharan IK; Fortini ME; Li PW; Apweiler R; Fleischmann W; Cherry JM; Henikoff S; Skupski MP; Misra S; Ashburner M; Birney E; Boguski MS; Brody T; Brokstein P; Celniker SE; Chervitz SA; Coates D; Cravchik A; Gabrielian A; Galle RF; Gelbart WM; George RA; Goldstein LS; Gong F; Guan P; Harris NL; Hay BA; Hoskins RA; Li J; Li Z; Hynes RO; Jones SJ; Kuehl PM; Lemaitre B; Littleton JT; Morrison DK; Mungall C; O'Farrell PH; Pickeral OK; Shue C; Vosshall LB; Zhang J; Zhao Q; Zheng XH; Lewis S;,Comparative genomics of the eukaryotes.,Molecular & General Genetics,Science. 2000 Mar 24;287(5461):2204-15.
1,Journal Article,2000,10778742,,Johnsen RC; Jones SJ; Rose AM;,Mutational accessibility of essential genes on chromosome I(left) in Caenorhabditis elegans.,Molecular & General Genetics,Mol Gen Genet. 2000 Mar;263(2):239-52.
2,Journal Article,2000,11030340,,Reinke V; Smith HE; Nance J; Wang J; Van Doren C; Begley R; Jones SJ; Davis EB; Scherer S; Ward S; Kim SK;,A global profile of germline gene expression in C. elegans.,Molecular Cell,Mol Cell. 2000 Sep;6(3):605-16.
3,Journal Article,2000,11070064,,de Koning AP; Brinkman FS; Jones SJ; Keeling PJ;,Lateral gene transfer and metabolic adaptation in the human parasite Trichomonas vaginalis.,Molecular Biology and Evolution,Mol Biol Evol. 2000 Nov;17(11):1769-73.
4,Journal Article,2000,11099034,,Gonczy P; Echeverri C; Oegema K; Coulson A; Jones SJ; Copley RR; Duperon J; Oegema J; Brehm M; Cassin E; Hannak E; Kirkham M; Pichler S; Flohrs K; Goessen A; Leidel S; Alleaume AM; Martin C; Ozlu N; Bork P; Hyman AA;,Functional genomic analysis of cell division in C. elegans using RNAi of genes on chromosome III.,Nature,Nature. 2000 Nov 16;408(6810):331-6.
5,Journal Article,2001,11237014,,McPherson JD; Marra M; Hillier L; Waterston RH; Chinwalla A; Wallis J; Sekhon M; Wylie K; Mardis ER; Wilson RK; Fulton R; Kucaba TA; Wagner-McPherson C; Barbazuk WB; Gregory SG; Humphray SJ; French L; Evans RS; Bethel G; Whittaker A; Holden JL; McCann OT; Dunham A; Soderlund C; Scott CE; Bentley DR; Schuler G; Chen HC; Jang W; Green ED; Idol JR; Maduro VV; Montgomery KT; Lee E; Miller A; Emerling S; Kucherlapati; Gibbs R; Scherer S; Gorrell JH; Sodergren E; Clerc-Blankenburg K; Tabor P; Naylor S; Garcia D; de Jong PJ; Catanese JJ; Nowak N; Osoegawa K; Qin S; Rowen L; Madan A; Dors M; Hood L; Trask B; Friedman C; Massa H; Cheung VG; Kirsch IR; Reid T; Yonescu R; Weissenbach J; Bruls T; Heilig R; Branscomb E; Olsen A; Doggett N; Cheng JF; Hawkins T; Myers RM; Shang J; Ramirez L; Schmutz J; Velasquez O; Dixon K; Stone NE; Cox DR; Haussler D; Kent WJ; Furey T; Rogic S; Kennedy S; Jones S; Rosenthal A; Wen G; Schilhabel M; Gloeckner G; Nyakatura G; Siebert R; Schlegelberger B; Korenberg J; Chen XN; Fujiyama A; Hattori M; Toyoda A; Yada T; Park HS; Sakaki Y; Shimizu N; Asakawa S; Kawasaki K; Sasaki T; Shintani A; Shimizu A; Shibuya K; Kudoh J; Minoshima S; Ramser J; Seranski P; Hoff C; Poustka A; Reinhardt R; Lehrach H;,A physical map of the human genome.,Nature,Nature. 2001 Feb 15;409(6822):934-41.
6,Journal Article,2001,11301315,,Brinkman FS; Wan I; Hancock RE; Rose AM; Jones SJ;,PhyloBLAST: facilitating phylogenetic analysis of BLAST results.,Bioinformatics,Bioinformatics. 2001 Apr;17(4):385-7.
7,Journal Article,2001,11483575,,Jones SJ; Riddle DL; Pouzyrev AT; Velculescu VE; Hillier L; Eddy SR; Stricklin SL; Baillie DL; Waterston R; Marra MA;,Changes in gene expression associated with developmental arrest and longevity in Caenorhabditis elegans.,Genome Research,Genome Res. 2001 Aug;11(8):1346-52.
8,Journal Article,2002,11934749,,Ness SR; Terpstra W; Krzywinski M; Marra MA; Jones SJ;,Assembly of fingerprint contigs: parallelized FPC.,Bioinformatics,Bioinformatics. 2002 Mar;18(3):484-5.
9,Journal Article,2002,12034834,,Butterfield YS; Marra MA; Asano JK; Chan SY; Guin R; Krzywinski MI; Lee SS; MacDonald KW; Mathewson CA; Olson TE; Pandoh PK; Prabhu AL; Schnerch A; Skalska U; Smailus DE; Stott JM; Tsai MI; Yang GS; Zuyderduyn SD; Schein JE; Jones SJ;,An efficient strategy for large-scale high-throughput transposon-mediated sequencing of cDNA clones.,Nucleic Acids Research,Nucleic Acids Res. 2002 Jun 1;30(11):2460-8.
