Publication Category,Publication Year,DOI,Authors,Title,Journal,Short Citation,PMCID,ISSN,ISBN,PMID
Journal Article,2014,10.1002/anie.201406258,Liu Z; Pourghiasian M; Radtke MA; Lau J; Pan J; Yapp D; Lin KS; Benard F; Perrin DM,An Organotrifluoroborate for Broadly Applicable One-Step 18F-Labeling,Angewandte Chemie International Edition in English,Angewandte Chemie 2014 53: 11876,,,,
Journal Article,2012,10.1002/bbb.1347,Olsen C; Arantes V; Saddler JN,The use of predictive models to optimize sugar recovery obtained after the steam pre-treatment of softwoods.,Bioscience,Biofuels Bioproducts & Biorefining. 2012 Sept;6(5):534-48.,,,,
Journal Article,2010,10.1002/bbb.239,Stephen JD; Mabee WE; Saddler JN,"Biomass logistics as a determinant of second-generation biofuels facility scale, location and technology.",a - other journal,Biofuels Bioprod Biorefin. 2010 Aug;4(5):503-18.  10.1002/bbb.239.,,,,
Journal Article,2011,10.1002/bbb.331,Stephen JD; Mabee WE; Saddler JN,Will second-generation ethanol be able to compete with first-generation ethanol? Opportunities for cost reduction.,a - other journal,Biofuels Bioprod Biorefin. 2011 Nov;6(2):159-76.  10.1002/bbb.331.,,,,
Journal Article,2010,10.1002/env.1058,Zheng Y; Aukema BH,Hierarchical dynamic modeling of outbreaks of mountain pine beetle using partial differential equations.,Environmetrics,Environmetrics. 2010 Nov;21(7-8):801-816.,,,,
Journal Article,2012,10.1002/jlcr.2990,Liu Z; Li Y; Lozada J; Pan J; Lin KS; Schaffer P; Perrin DM,"Rapid, one-step, high yielding 18F-labeling of an aryltrifluoroborate bioconjugate by isotope exchange at very high specific activity.",,J Labelled Comp Radiopharm. 2012 Dec;55(14):491-96.,,,,
Journal Article,2017,10.1002/lom3.10159,"Friese A, Kallmeyer J, Axel Kitte J, Montano Martinez I, Bijaksana S, Wagner D, the ICDP Lake Chalco Drilling Science Team and the ICDP Towuti Drilling Science Team",A simple and inexpensive technique for assessing contamination during drilling operations,Limnology and Oceanography: Methods,Limnology and Oceanography: Methods.  10.1002/lom3.10159,,,,
Journal Article,2014,10.1002/mame.201300364,Gao G; Karaaslan M; Kadla J,Hydrogen-Bonding Based Reversible Polymer Networks Based on Kraft Lignin and Poly(2-(Dimethylamino)Ethyl Methacrylate) Series Polymers,Macromolecular Materials and Engineering,"Macromol. Mater. Eng. 2014,  10.1002/mame.201300364",,,,
Journal Article,2009,10.1002/qsar.200860108,Byler K; Hsing M; Cherkasov A,The Use of Sequence-Derived QSPR Descriptors for Predicting Highly-Connected Proteins (Hubs) in Protein-Protein Interactions.,Qsar & Combinatorial Science,QSAR Comb Sci. 2009;28(5):509-519. [http://www.scopus.com/record/display.url?eid=2-s2.0-67649209137&origin=inward&txGid=oBV8Yx7NNX7XXrX2RdmWn1h%3a2],,,,
Journal Article,2014,10.1007/978-3-319-04045-5_5,Zerbe P; Bohlmann J,"Bioproducts, biofuels, and perfumes: Conifer terpene synthases and their potential for metabolic engineering.",,Recent Adv Phytochem. 2014;44:85-107.,,,,
Journal Article,2005,10.1007/s00468-005-0013-7,O'Leary SJ; von Aderkas P,Postpollination droplet production in hybrid larch in relation to the diurnal pattern of xylem water potential.,Trees,Trees. 2006 Jan;20(1):61-6.,,,,
Journal Article,2007,10.1007/s00497-007-0054-8,Wagner RE; Mugnaini S; Sniezko R; Hardie D; Poulis B; Nepi M; Pacini E and von Aderkas P,Proteomic Evaluation of Gymnosperm Pollination Drop Proteins Indicates Highly Conserved and Complex Biological Functions.,Sexual Plant Reproduction,Sex Plant Reprod. 2007 Nov;20(4):181-9.,,,,
Journal Article,2014,10.1007/s10342-013-0772-4,Novak M; Urbanek Krajnc U; Lah L; Zupanec N; Kraševec N; Križman M; Bohlmann J; Komel R,Low-density Ceratocystis polonica inoculation of Norway spruce (Picea abies) triggers accumulation of monoterpenes with antifungal properties.,,Eur J Forest Res. 2014 Apr.,,,,
Journal Article,2016,10.1007/s10606-016-9248-7,"Frizzo-Barker J, Chow-White PA, Charters A, Ha D",Genomic Big Data and Privacy: Challenges and Opportunities for Precision Medicine,Computer Supported Cooperative Work (CSCW),"Computer Supported Cooperative Work (CSCW) June 2016, Volume 25, Issue 2, pp 115-136",,,,
Journal Article,2010,10.1007/s10641-010-9635-8,Nadeau PS; Hinch SG; Hruska KA; Pon LB; Patterson DA,The effects of experimental energy depletion on the physiological condition and survival of adult sockeye salmon (Oncorhynchus nerka) during spawning migration.,a - other journal,Environ Biol Fish. 2010 Jul;88(3):241-51.  10.1007/s10641-010-9635-8.,,,,
Journal Article,2010,10.1007/s10676-009-9214-x,Danielson P,Designing a machine to learn about the ethics of robotics: the N-reasons platform Ethics Inform Technol.,Ethics and Information Technology,Ethics Inform Technol. 2010;12(3):251-261. 10.1007/s10676-009-9214-x.,,,,
Journal Article,2011,10.1007/s10980-011-9628-9,de la Giroday H-MC; Carroll AL; Lindgren BS; Aukema BH,Incoming! Association of landscape features with dispersing mountain pine beetle populations during a range expansion event in western Canada.,Landscape Ecology,Landscape Ecol. 2011;26(8):1097-1110.  10.1007/s10980-011-9628-9.,,,,
Journal Article,2005,10.1007/s11032-005-3424-7,Rungis D; Hamberger B; Bérubé Y; Wilkin J; Bohlmann J; Ritland K,Efficient genetic mapping of single nucleotide polymorphisms based upon DNA mismatch digestion.,Molecular Breeding,Molecular Breeding 16(3): 261-270,,,,
Journal Article,2006,10.1007/s11101-006-0001-6,Phillips MA; Bohlmann J; Gershenzon J,Molecular Regulation of Induced Terpenoid Biosynthesis in Conifers,Phytochemistry Reviews,Phytochem Rev. 2006;5(1):179-189.  10.1007/s11101-006-0001-6.,,,,
Journal Article,2006,10.1007/s11101-006-9002-8,Seybold SJ; Huber DPW; Lee JC; Graves AD; Bohlmann J,Pine monoterpenes and pine bark beetles: a marriage of convenience for defense and chemical communication,Phytochemistry Reviews,Phytochem Rev. 2006;5(1):143-178. 10.1007/s11101-006-9002-8.,,,,
Journal Article,2011,10.1007/s11160-010-9179-1,Burt JM; Hinch SG; Patterson DA,The importance of parentage in assessing temperature effects on fish early life history: a review of the experimental literature.,a - other journal,Rev Fish Biol Fisher. 2011 Sept;21(3):377-406.  10.1007/s11160-010-9179-1.,,,,
Journal Article,2012,10.1007/s11160-012-9271-9,Martins EG; Hinch SG; Cooke SJ; Patterson DA,"Climate effects on growth, phenology, and survival of sockeye salmon (Oncorhynchus nerka): a synthesis of the current state of knowledge and future research directions",a - other journal,Rev Fish Biol Fisher. 2012 Dec;22(4)887-914.  10.1007/s11160-012-9271-9.,,,,
Journal Article,2007,10.1007/s11295-006-0061-1,Berube Y; Zhuang J; Ralph S; Rungis D; Bohlmann J; Ritland K,Characterization of EST-SSRs in loblolly pine and spruce.,Tree Genetics & Genomes,Tree Genet Genomes. 2007 May;3(3):251-9.,,,,
Journal Article,2009,10.1007/s11295-008-0189-2,Liewlaksaneeyanawin C; Zhuang J; Tang M; Farzaneh N; Lueng G; Oddy C; Findlay S; Ritland CE; Bohlmann J; K Ritland,Identification of COS markers in the Pinaceae.,Tree Genetics & Genomes,Tree Genet Genomes. 2009 Jan;5(1):247-55.,,,,
