Publication Category,Publication Year,PMID,DOI,Authors,Title,Journal,Short Citation
Journal Article,2006,,,Ansermino JM; Carleton BC,"Guest editorial--Primum non nocere (First, do no harm): How do we improve patient safety?",British Columbia Medical Journal,BC Med J. 2006 Sep; 48(7):324.25.
Journal Article,2006,,,Carleton BC; Smith MA,Drug safety: Side effects and mistakes or adverse reactions and deadly errors?,British Columbia Medical Journal,BC Med J. 2006 Sep; 48(7):329-33.
Journal Article,2010,,,Goulding R; Marden E; Manion R; Levy E,Alternative Intellectual Property for Genomics and the Activity of Technology Transfer Offices: Emerging Directions in Research,Boston University Journal of Science and Technology Law,BU J Sci Tech L. 2010;16:194.
Journal Article,2010,,,Levy E; Marden E; Warren B; Hartell D; Filaté I,Patent Pools and Genomics: Navigating a Course to Open Science?,Boston University Journal of Science and Technology Law,BU J Sci Tech L. 2010;16:75-103.
Journal Article,2008,,,Longstaff H; Secko D,Media influence on biobank deliberations.,Canadian Journal of Public Deliberation,Journal of Health & Mass Communication. 2010;2(1-4):73-95.
Journal Article,2006,,,Whiteside M.D; Brinkman FSL,Ortholuge: For more precise high-throughput ortholog identification.,Canadian Bioinformatics Help Desk Newsletter Archive,Canadian Bioinformatics Help Desk Newsletter. 2006 Nov; (61).
Journal Article,2010,,,Danielson PA; Ahmad R; Longstaff H; Ormandy E,Social networking as a tool for computer-mediated ethics.,Ethics and Information Technology,"Ethics and Information Technology, Special Issue on Ethics of Social Networking."
Journal Article,2006,,,Carleton BC; Stenton S,Effectiveness of drug surveillance programs in identifying adverse outcomes in children.,Expert Review of Pharmacoeconomics & Outcomes Research,Exp Rev Pharmacoecon Outcomes Res. 2006.
Journal Article,2006,,,Chassigneux C; Trudel P; Knoppers BM,The Legal Framing of Computerized Processing of Health Data: A European and Canadian Perspective,Human Genetics Editorial Online,GenEdit. 2006;4(1):1-8.
Journal Article,2005,,,Lacroix M; Godard B; Knoppers BM,Warning Patients’ Relatives of Genetic Risks: Policy Approaches,Human Genetics Editorial Online,GenEdit. 2005;3(3):1-8.
Journal Article,2006,,,Patenaude AF; Sénécal K; Avard D,Whither Pediatric Research and Predisposition Genetic Testing?,Human Genetics Editorial Online,GenEdit. 2006;4(2):1-9.
Journal Article,2008,,,Bouchard R,Reflections on the Value of Systems Models for Regulation of Medical Research and Product Development,Health Law Review,Health Law Rev. 2008;17(1):30-45.
Journal Article,2007,,,Dusyk N,The Political and Moral Economies of Science: A Case Study of Genomics in Canada and the United Kingdom,Health Law Review,Health Law Rev. 2007;15(3):3.
Journal Article,2008,,,Farris L; Grosjean JA,Mapping the Boundaries of Bioinformatics.,Health Law Review,Health Law Rev. 2008; 16(4)-16-8.
Journal Article,2008,,,Longstaff H; Burgess M,Evaluating recruitment strategies for biobank deliberation,Health Law Review,"Health Law Rev. 2008;16(4),12-5."
Journal Article,2008,,,MacLean S; Burgess M,Biobanks: Informing the public through expert and statekholder presentations.,Health Law Review,Health Law Rev. 2008;16(4):6-8.
Journal Article,2008,,,O'Doherty K; Burgess M,Defining deliberative outputs in a public engagement about biobanks.,Health Law Review,Health Law Rev. 2008;16(4):3-5.
Journal Article,2008,,,Wilcox ES,A Lego model to help inform participants at the British Columbia Biobank Deliberation.,Health Law Review,Health Law Rev. 2008;16(4):9-11.
Journal Article,2009,,,McManus B,Trends in genomic biomarkers.,Heart and Metabolism,Heart and Metabolism 2009 Aug ;43:19-21
