Title,PMID
Lapatinib plus capecitabine in women with HER-2 positive advanced breast cancer: final survival analysis of phase III randomized trial,20736298
Lapatinib plus capecitabine for HER2-positive advanced breast cancer,17192538
Clinical Cardiac Tolerability of Trastuzumab,14722042
Bleeding risk with trastuzumab (Herceptin) treatment,10612314
Clinical cardiac tolerability of trastuzumab,14722042
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Randomized trial of dose-dense versus conventionally scheduled and sequential versus concurrent combination chemotherapy as postoperative adjuvant treatment of node-positive primary breast cancer: first report of Intergroup Trial C9741/Cancer and Leukemia Group B Trial 9741,12668651
Benefit of a high-dose epirubicin regimen in adjuvant chemotherapy for node-positive breast cancer patients with poor prognostic factors: 5-year follow-up results of French Adjuvant Study Group 05 randomized trial,11157009
Clinical cardiac tolerability of trastuzumab,14722042
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Clinical Cardiac Tolerability of Trastuzumab,14722042
Phase II study of weekly docetaxel and trastuzumab for patients with HER-2-overexpressing metastatic breast cancer,11919237
docetaxel combined with trastuzumab is an active regimen in HER-2 3+ overexpressing and fluorescent in situ hybridization-positive metastatic breast cancer: A multi-institutional phase II trial,15020608
Clinical Cardiac Tolerability of Trastuzumab,14722042
The safety of dose-dense doxorubicin and cyclophosphamide followed by paclitaxel with trastuzumab in HER-2/neu overexpressed/amplified breast cancer,18323546
Weighing a dose-dense option for adjuvant chemotherapy and trastuzumab in early- stage breast cancer,18323544
Paclitaxel plus Bevacizumab versus Paclitaxel alone for metastatic breast cancer,18160686
Multicenter phase II trial of weekly paclitaxel in women with metastatic breast cancer,11709565
Premedication strategy for weekly paclitaxel,12197222
Phase II multicenter trial of a weekly paclitaxel and carboplatin regimen in patients with advanced breast cancer,12228205
Taxanes in elderly breast cancer patients,15145508
Randomized trial of dose-dense versus conventionally scheduled and sequential versus concurrent combination chemotherapy as postoperative adjuvant treatment of node-positive primary breast cancer: first report of Intergroup Trial C9741/Cancer and Leukemia Group B Trial 9741,12668651
Bisphosphonates in the adjuvant setting of breast cancer therapy- -effect on survival: a systematic review and meta-analysis,23990894
Reduction in bone relapse and improved survival with oral clodronate for adjuvant treatment of operable breast cancer [ISRCTN83688026],16542503
Docetaxel in patients with metastatic breast cancer: a phase II study of the National Cancer Institute of Canada – Clinical Trials Group,8636752
Factors predicting for efficacy and safety of docetaxel in a compassionate-use cohort of 825 heavily pretreated advanced breast cancer patients,10653871
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
A randomized trial of exemestane after two to three years of tamoxifen therapy in postmenopausal women with primary breast cancer,15014181
American Society of Clinical Oncology technology assessment on the use of aromatase inhibitors as adjuvant therapy for postmenopausal women with hormone receptor-positive breast cancer: status report 2004,15545664
A randomized trial of letrozole in postmenopausal women after five years of tamoxifen therapy for early-stage breast cancer,14551341
Clinical Cardiac Tolerability of Trastuzumab,14722042
Trastuzumab emtansine for HER2-positive advanced breast cancer,23020162
Bleeding risk with trastuzumab (Herceptin) treatment,10612314
Clinical Cardiac Tolerability of Trastuzumab,14722042
A randomized trial of exemestane after two to three years of tamoxifen therapy in postmenopausal women with primary breast cancer,15014181
American Society of Clinical Oncology technology assessment on the use of aromatase inhibitors as adjuvant therapy for postmenopausal women with hormone receptor-positive breast cancer: status report 2004,15545664
A randomized trial of letrozole in postmenopausal women after five years of tamoxifen therapy for early-stage breast cancer,14551341
Benefit of a high-dose epirubicin regimen in adjuvant chemotherapy for node- positive breast cancer patients with poor prognostic factors: 5-year follow-up results of French Adjuvant Study Group 05 randomized trial,11157009
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Bleeding risk with trastuzumab (Herceptin) treatment,10612314
Clinical Cardiac Tolerability of Trastuzumab,14722042
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Bisphosphonates in the adjuvant setting of breast cancer therapy--effect on survival: a systematic review and meta-analysis,23990894
Benefit of a high-dose epirubicin regimen in adjuvant chemotherapy for node- positive breast cancer patients with poor prognostic factors: 5-year follow-up results of French Adjuvant Study Group 05 randomized trial,11157009
Clinical Cardiac Tolerability of Trastuzumab,14722042
Bleeding risk with trastuzumab (Herceptin) treatment,10612314
Cardiac management during adjuvant trastuzumab therapy: recommendations of the Canadian Trastuzumab Working Group,18317582
Low-dose oral methotrexate and cyclophosphamide in metastatic breast cancer: antitumor activity and correlation with vascular endothelial growth factor levels,11863115
Metronomic low-dose oral cyclophosphamide and methotrexate plus or minus thalidomide in metastatic breast cancer: antitumor activity and biological effects,16322118
Prolonged clinical benefit with metronomic chemotherapy in patients with metastatic breast cancer,16940806
Salvage therapy with oral metronomic cyclophosphamide and methotrexate for castration-refractory metastatic adenocarcinoma of the prostate resistant to docetaxel,22054386
Oral metronomic cyclophosphamide with and without methotrexate as palliative treatment for patients with metastatic breast carcinoma,22287742
Continuous low-dose cyclophosphamide and methotrexate combined with celecoxib for patients with advanced cancer,21587257
American College of Rheumatology 2008 recommendations for the use of nonbiologic and biologic disease-modifying antirheumatic drugs in rheumatoid arthritis,18512708
Clinical Cardiac Tolerability of Trastuzumab,14722042
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Pertuzumab plus trastuzumab plus docetaxel for metastatic breast cancer,22149875
Delayed adjuvant tamoxifen: ten-year results of a collaborative randomized controlled trial in early breast cancer (TAM-02 trial),10907942
A randomized trial of exemestane after two to three years of tamoxifen therapy in postmenopausal women with primary breast cancer,15014181
A randomized trial of letrozole in postmenopausal women after five years of tamoxifen therapy for early-stage breast cancer,14551341
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Adjuvant ovarian suppression in premenopausal breast cancer,25901438
Adjuvant exemestane with ovarian suppression in premenopausal breast cancer,24881463
Effect of anastrozole and tamoxifen as adjuvant treatment for early-stage breast cancer: 10-year analysis of the ATAC trial,21087898
Endocrine Therapy plus zoledronic acid in premenopausal breast cancer,19484818
Clinical Cardiac Tolerability of Trastuzumab,14722042
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Superior efficacy of letrozole versus tamoxifen as first-line therapy for postmenopausal women with advanced breast cancer: results of a phase III study of the International Letrozole Breast Cancer Group,11352951
A randomized trial of exemestane after two to three years of tamoxifen therapy in postmenopausal women with primary breast cancer,15014181
American Society of Clinical Oncology technology assessment on the use of aromatase inhibitors as adjuvant therapy for postmenopausal women with hormone receptor-positive breast cancer: status report 2004,15545664
A randomized trial of letrozole in postmenopausal women after five years of tamoxifen therapy for early-stage breast cancer,14551341
High-intensity focused ultrasound in prostate cancer; a systematic literature review of the French Association of Urology,18325057
Active surveillance for early-stage prostate cancer: review of the current literature,18306379
Comprehensive prospective comparative analysis of outcomes between open and laparoscopic radical prostatectomy conducted in 2003 to 2005,18353387
Oncologic control provided by HIFU therapy as single treatment in men with clinically localized prostate cancer,18581118
Mid-term results demonstrate salvage high intensity focused ultrasound (HIFU) as an effective and acceptably morbid salvage treatment option for locally radiorecurrent prostate cancer,18508188
Salvage HIFU for recurrent prostate cancer after radiotherapy,18852702
Lapatinib plus capecitabine in women with HER-2 positive advanced breast cancer: final survival analysis of phase III randomized trial,20736298
Lapatinib plus capecitabine for HER2-positive advanced breast cancer,17192538
Clinical Cardiac Tolerability of Trastuzumab,14722042
Bleeding risk with trastuzumab (Herceptin) treatment,10612314
Clinical cardiac tolerability of trastuzumab,14722042
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
Impact of colony-stimulating factors to reduce febrile neutropenic events in breast cancer patients receiving docetaxel plus cyclophosphamide chemotherapy,20232087
Randomized trial of dose-dense versus conventionally scheduled and sequential versus concurrent combination chemotherapy as postoperative adjuvant treatment of node-positive primary breast cancer: first report of Intergroup Trial C9741/Cancer and Leukemia Group B Trial 9741,12668651
Benefit of a high-dose epirubicin regimen in adjuvant chemotherapy for node-positive breast cancer patients with poor prognostic factors: 5-year follow-up results of French Adjuvant Study Group 05 randomized trial,11157009
Clinical cardiac tolerability of trastuzumab,14722042
High rate of febrile neutropenia in patients with operable breast cancer receiving docetaxel and cyclophosphamide,19652050
