PMID,Title
25999454,Inherited genetic variation in childhood acute lymphoblastic leukemia.
23640184,Challenges in pharmacogenetics.
18466097,"Serotonin type 3 receptor genes: HTR3A, B, C, D, E."
24474498,VKORC1 and CYP2C9 genotypes are predictors of warfarin-related outcomes in children.
26710337,A Randomized Trial of Pharmacogenetic Warfarin Dosing in Naïve Patients with Non-Valvular Atrial Fibrillation.
19924111,"Polymorphisms in GRIK4, HTR2A, and FKBP5 show interactive effects in predicting remission to antidepressant treatment."
23859574,Pharmacodynamic genetic variants related to antipsychotic adverse reactions in healthy volunteers.
12065557,Patient-tailored antiemetic treatment with 5-hydroxytryptamine type 3 receptor antagonists according to cytochrome P-450 2D6 genotypes.
19259653,CYP2C19 genotype is associated with symptomatic recurrence of GERD during maintenance therapy with low-dose lansoprazole.
21521023,Variability in transport and biotransformation of cytarabine is associated with its toxicity in peripheral blood mononuclear cells.
18174457,"Association between ADAMTS1 matrix metalloproteinase gene variation, coronary heart disease, and benefit of statin therapy."
21546862,PharmGKB summary:  citalopram pharmacokinetics pathway.
11543734,Factors affecting fluvoxamine antidepressant activity: influence of pindolol and 5-HTTLPR in delusional and nondelusional depression.
18285551,Association of common C-reactive protein (CRP) gene polymorphisms with baseline plasma CRP levels and fenofibrate response: the GOLDN study.
19179847,Genetics of dopamine receptors and drug addiction: a comprehensive review.
17955230,CYP2C9 genotypes and the quality of anticoagulation control with warfarin therapy among Brazilian patients.
26129906,Genetics-Based Population Pharmacokinetics and Pharmacodynamics of Risperidone in a Psychiatric Cohort.
25897911,CYP2C19 LOF alleles confer no risk for HTPR but higher risk for recurrent ischemic events in clopidogrel treated elderly ACS patients.
20807074,Disinhibition as a side effect of treatment with fluvoxamine in pediatric patients with obsessive-compulsive disorder.
20130494,Association of common variants of CYP4A11 and CYP4F2 with stroke in the Han Chinese population.
19825907,Predictive factors for responding to sertraline treatment: views from plasma catecholamine metabolites and serotonin transporter polymorphism.
24140730,Relationship between statin type and responsiveness to clopidogrel in patients treated with percutaneous coronary intervention: a subgroup analysis of the CILON-T trial.
23835420,Morphine is a substrate of the organic cation transporter OCT1 and polymorphisms in OCT1 gene affect morphine pharmacokinetics after codeine administration.
23080225,Genome-wide association study of plasma efavirenz pharmacokinetics in AIDS Clinical Trials Group protocols implicates several CYP2B6 variants.
25461249,PPARA gene and phenprocoumon: a new predictor of response variability.
18794729,Polymorphism of the hepatic influx transporter organic anion transporting polypeptide 1B1 is associated with increased cholesterol synthesis rate.
21625751,Association study between genetic monoaminergic polymorphisms and OCD response to clomipramine treatment.
23556448,Association of a functional FAAH polymorphism with methamphetamine-induced symptoms and dependence in a Malaysian population.
23682072,Characterization of raloxifene glucuronidation: potential role of UGT1A8 genotype on raloxifene metabolism in vivo.
10668847,Increased bioavailability of oral melatonin after fluvoxamine coadministration.
29737521,Age- and Genotype-Dependent Variability in the Protein Abundance and Activity of Six Major Uridine Diphosphate-Glucuronosyltransferases in Human Liver.
23973251,SLC6A4 polymorphisms and age of onset in late-life depression on treatment outcomes with citalopram: a Sequenced Treatment Alternatives to Relieve Depression (STAR*D) report.
27549341,Polymorphisms in drug-metabolizing enzymes and steady-state exemestane concentration in postmenopausal patients with breast cancer.
23646118,Effects of CYP2C19 loss-of-function variants on the eradication of H. pylori infection in patients treated with proton pump inhibitor-based triple therapy regimens: a meta-analysis of randomized clinical trials.
23989394,Cyanosis in a male Nigerian infant with acute kidney injury: answers.
18618621,SLC6A4 variation and citalopram response.
26265231,Genetic and platelet function testing of antiplatelet therapy for percutaneous coronary intervention: the ARCTIC-GENE study.
24080498,Pharmacogenetic associations with plasma efavirenz concentrations and clinical correlates in a retrospective cohort of Ghanaian HIV-infected patients.
8861656,Use of electrospray ionization liquid chromatography-mass spectrometry to study the role of CYP2D6 in the in vitro metabolism of 5-hydroxytryptamine receptor antagonists.
25163792,Population pharmacogenetic pharmacokinetic modeling for flip-flop phenomenon of enteric-coated mycophenolate sodium in kidney transplant recipients.
22954510,Delta and kappa opioid receptor polymorphisms influence the effects of naltrexone on subjective responses to alcohol.
24353446,"Cytochrome P450 3A4*22, PPAR-α, and ARNT polymorphisms and clopidogrel response."
21412232,Pharmacogenetics: from bench to byte--an update of guidelines.
23609393,Norepinephrine genes predict response time variability and methylphenidate-induced changes in neuropsychological function in attention deficit hyperactivity disorder.
5365949,An improved and simplified method of detecting the acetylator phenotype.
12414349,Pharmacogenetics of acenocoumarol: cytochrome P450 CYP2C9 polymorphisms influence dose requirements and stability of anticoagulation.
14652703,Increased incidence of CYP2D6 gene duplication in patients with persistent mood disorders: ultrarapid metabolism of antidepressants as a cause of nonresponse. A pilot study.
19890253,Transporter pharmacogenetics and statin toxicity.
19183167,Additive role of tiotropium in severe asthmatics and Arg16Gly in ADRB2 as a potential marker to predict response.
27225724,Effects of Genetic Polymorphism in CYP3A4 and CYP3A5 Genes on Tacrolimus Dose Among Kidney Transplant Recipients.
12623934,ACE and alpha-adducin polymorphism as markers of individual response to diuretic therapy.
8857546,Individualizing therapy with 6-mercaptopurine and 6-thioguanine related to the thiopurine methyltransferase genetic polymorphism.
10523341,The role of alpha-adducin polymorphism in blood pressure and sodium handling regulation may not be excluded by a negative association study.
16302021,Response to fluoxetine and serotonin 1A receptor (C-1019G) polymorphism in Taiwan Chinese major depressive disorder.
26846104,DPYD gene polymorphisms are associated with risk and chemotherapy prognosis in pediatric patients with acute lymphoblastic leukemia.
17431185,Fenofibrate effect on triglyceride and postprandial response of apolipoprotein A5 variants: the GOLDN study.
12844134,Beta 1-adrenergic receptor polymorphisms and antihypertensive response to metoprolol.
19057513,Renin-angiotensin system and alpha-adducin gene polymorphisms and their relation to responses to antihypertensive drugs: results from the GENRES study.
21810746,Genome-wide association study identifies variations in 6p21.3 associated with nevirapine-induced rash.
24101478,Humanized mouse model of glucose 6-phosphate dehydrogenase deficiency for in vivo assessment of hemolytic toxicity.
26441325,ITPA Polymorphisms Are Associated with Hematological Side Effects during Antiviral Therapy for Chronic HCV Infection.
24362944,"Predictive value of the IFNL4 polymorphism on outcome of telaprevir, peginterferon, and ribavirin therapy for older patients with genotype 1b chronic hepatitis C."
26153084,CYP2B6 rs2279343 polymorphism is associated with smoking cessation success in bupropion therapy.
23797529,The role of CYP2C8 genotypes in dose requirement  and levels of everolimus after heart transplantation.
15564883,Association between single nucleotide polymorphisms in deoxycytidine kinase and treatment response among acute myeloid leukaemia patients.
17192506,Effect of polymorphic CYP3A5 genotype on the single-dose simvastatin pharmacokinetics in healthy subjects.
19106084,Cytochrome p-450 polymorphisms and response to clopidogrel.
26977927,A New Pharmacogenetic Algorithm to Predict the Most Appropriate Dosage of Acenocoumarol for Stable Anticoagulation in a Mixed Spanish Population.
21996196,Lymphocyte counts in kidney allograft recipients are associated with IMPDH2 3757T&amp;gt;C gene polymorphism.
27574448,Polymorphism of CYP3A4 and ABCB1 genes increase the risk of neuropathy in breast cancer patients treated with paclitaxel and docetaxel.
19626000,"Clozapine, GABA(B), and the treatment of resistant schizophrenia."
16786511,"Genetic variability, haplotypes, and htSNPs for exons 1 at the human UGT1A locus."
